genus,counts,color_label
Psychotria,74,yellowgreen
Protium,63,firebrick
Otoba,54,mediumpurple
Pouteria,41,deepskyblue
Triplaris,35,forestgreen
Brosimum,22,lightgray
Couepia,22,lightgray
Inga,22,orangered
Cordia,20,darkturquoise
Nectandra,16,lightgray
Cecropia,16,gold
Eschweilera,15,chocolate
Duguetia,15,lightgray
Miconia,14,lightgray
Manilkara,13,lightgray
Erisma,12,lightgray
Minquartia,11,lightgray
Dialium,11,lightgray
Couratari,10,lightgray
Rinorea,9,darkorange
Conceveiba,9,lightgray
Couma,9,lightgray
Casearia,9,lightgray
Mezilaurus,8,lightgray
Lecythis,8,lightgray
Ocotea,8,lightgray
Guarea,8,lightgray
Dinizia,7,lightgray
Pseudopiptadenia,7,lightgray
Carapa,7,lightgray
NA_3,6,lightgray
Pterocarpus,6,lightgray
Aspidosperma,6,lightgray
Naucleopsis,6,lightgray
Trichilia,5,lightgray
NA_2,5,lightgray
Siparuna,5,lightgray
Hymenaea,5,lightgray
Neea,4,lightgray
Theobroma,4,lightgray
Xylopia,4,lightgray
Eugenia,4,lightgray
Zygia,4,lightgray
Thyrsodium,4,lightgray
Sloanea,4,lightgray
Mouriri,3,lightgray
Virola,3,lightgray
Simarouba,3,lightgray
Vatairea,3,lightgray
Vismia,3,violet
Quararibea,3,lightgray
Anacardium,3,lightgray
Rollinia,2,lightgray
Tabebuia,2,lightgray
Talisia,2,lightgray
Jacaranda,2,lightgray
Qualea,2,lightgray
Garcinia,2,lightgray
Pseudolmedia,2,lightgray
Clarisia,2,lightgray
Apeiba,2,lightgray
Heisteria,2,lightgray
Quiina,2,lightgray
Dipteryx,2,lightgray
Dulacia,2,lightgray
Ecclinusa,2,lightgray
Physocalymma,1,lightgray
Stryphnodendron,1,lightgray
Bauhinia,1,lightgray
Schefflera,1,lightgray
Ampelocera,1,lightgray
Parkia,1,lightgray
Leonia,1,lightgray
Iryanthera,1,lightgray
Tapirira,1,lightgray
Ryania,1,lightgray
Maquira,1,lightgray
Banara,1,royalblue
Bertholletia,1,lightgray
Myrcia,1,lightgray
Mabea,1,lightgray
Ormosia,1,lightgray
Cupania,1,lightgray
Agonandra,1,lightgray
Astronium,1,lightgray
Tetragastris,1,lightgray
Perebea,1,lightgray
Pourouma,1,lightgray
Acalypha,1,lightgray
Psidium,1,lightgray
Unonopsis,1,lightgray
Cariniana,1,lightgray
Sorocea,1,lightgray
Caryodendron,1,lightgray
