genus,counts,color_label
Eschweilera,68,chocolate
Pouteria,65,deepskyblue
Rinorea,56,darkorange
Protium,48,firebrick
Inga,30,orangered
Cecropia,27,gold
Pausandra,24,lightgray
Guarea,20,lightgray
Drypetes,19,lightgray
Otoba,16,mediumpurple
Couepia,16,lightgray
Xylopia,15,lightgray
Swartzia,14,lightgray
Carapa,14,lightgray
Triplaris,13,forestgreen
Trichilia,12,lightgray
Brosimum,12,lightgray
Mezilaurus,11,lightgray
Casearia,10,lightgray
Manilkara,10,lightgray
Tapirira,10,lightgray
Nectandra,9,lightgray
Ocotea,9,lightgray
Neea,8,lightgray
Jacaranda,7,lightgray
Aspidosperma,7,lightgray
Hevea,6,lightgray
Minquartia,6,lightgray
Ecclinusa,6,lightgray
Naucleopsis,6,lightgray
Sloanea,6,lightgray
Virola,6,lightgray
Dinizia,5,lightgray
Banara,5,royalblue
Caryodendron,5,lightgray
Theobroma,4,lightgray
Quararibea,4,lightgray
Couratari,4,lightgray
Dialium,4,lightgray
Bixa,4,lightgray
Siparuna,3,lightgray
Cordia,3,darkturquoise
Vataireopsis,3,lightgray
Eugenia,3,lightgray
Poecilanthe,3,lightgray
Tetragastris,3,lightgray
Guatteria,3,lightgray
Pterocarpus,3,lightgray
Mabea,3,lightgray
Apeiba,3,lightgray
NA_1,3,lightgray
Dussia,2,lightgray
Tapura,2,lightgray
Carica,2,lightgray
Oenocarpus,2,lightgray
NA_3,2,lightgray
Miconia,2,lightgray
Astronium,2,lightgray
Schefflera,2,lightgray
Heisteria,2,lightgray
Couma,2,lightgray
Duguetia,2,lightgray
Lecythis,2,lightgray
NA_2,2,lightgray
Bertholletia,2,lightgray
Stryphnodendron,2,lightgray
Psychotria,2,yellowgreen
Maquira,2,lightgray
Vatairea,2,lightgray
Simarouba,2,lightgray
Matisia,2,lightgray
Ampelocera,1,lightgray
Myrcia,1,lightgray
Cariniana,1,lightgray
Tabebuia,1,lightgray
Sapium,1,lightgray
Eriotheca,1,lightgray
Cedrela,1,lightgray
Copaifera,1,lightgray
Capirona,1,lightgray
Clarisia,1,lightgray
Pseudolmedia,1,lightgray
Leonia,1,lightgray
Humiria,1,lightgray
Perebea,1,lightgray
Talisia,1,lightgray
Buchenavia,1,lightgray
Anacardium,1,lightgray
Ormosia,1,lightgray
Pseudopiptadenia,1,lightgray
Calycophyllum,1,lightgray
Garcinia,1,lightgray
Alibertia,1,lightgray
Hirtella,1,lightgray
Pourouma,1,lightgray
Erisma,1,lightgray
Iryanthera,1,lightgray
Duroia,1,lightgray
Dipteryx,1,lightgray
Lacunaria,1,lightgray
Tachigali,1,lightgray
